	Tweets	full_tweet	ID	Username	Date	Hashtags	Retweeted	Source	Likes	Retweets	Date_in_seconds	Geo	Coordinates
0	#ВечернийУргант. Богемская рапсодия 🔥 https://t.co/YIBOxyNqll		1.0660862627240632e+18	Urgant_Show	Fri Nov 23 21:49:06 +0000 2018	[Hashtag(Text='ВечернийУргант')]	0.0	"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"	245.0	36.0	1543009746.0		
1	@thnksmom_ Богемская рапсодия		1.067488765973803e+18	odinoki_intro	Tue Nov 27 18:42:09 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	1.0	0.0	1543344129.0		
2	окей, богемская рапсодия выдавила из меня слезу.		1.0674885830518538e+18	jSousssss	Tue Nov 27 18:41:25 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0.0	0.0	1543344085.0		
3	"""Богемская рапсодия""-прекрасный подбор актеров.Больше всех,по-моему,был похож Мэй.Так же отличная постановка и деко… https://t.co/Ucy8JFZhLn"		1.0674875607154606e+18	sholochow	Tue Nov 27 18:37:22 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	0.0	1543343842.0		
4	RT @assambleya: богемская рапсодия би лайк https://t.co/SEevPMpYIJ		1.067481717378818e+18	tea_anon	Tue Nov 27 18:14:08 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	5.0	1543342448.0		
5	"RT @drsy10WSbjZ3Sho: девочка: ой Богемская Рапсодия довела меня до слёз хватит на всю жизнь
женщина: я в буквальном смысле посмотрю этот фи…"		1.0674816191566889e+18	NastasaMorozova	Tue Nov 27 18:13:45 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	112.0	1543342425.0		
6	@YuriFox_ Богемская рапсодия		1.0674791509009777e+18	ushkipandy	Tue Nov 27 18:03:57 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0.0	0.0	1543341837.0		
7	"Богемская рапсодия - 12 ""ЭЭЭО"" из 10"		1.067476330948776e+18	slukishesr	Tue Nov 27 17:52:44 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0.0	0.0	1543341164.0		
8	Богемская рапсодия О Г О Н Ь.		1.0674706809696297e+18	LimonPuff	Tue Nov 27 17:30:17 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	0.0	1543339817.0		
9	Фух единственный тип который не ходил на фильм богемская рапсодия это я		1.067470237384233e+18	Ptrchnk	Tue Nov 27 17:28:31 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	17.0	0.0	1543339711.0		
10	"-какой там все фильм сейчас смотрят?
-не знаю
-ну, там что-то типо ""бессмертная паэлья""
-Богемская рапсодия что ли?
-да!"		1.0674693032666235e+18	_Salevan_	Tue Nov 27 17:24:49 +0000 2018	[]	0.0	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>"	1.0	0.0	1543339489.0		
11	"@thnksmom_ Хватит писать "" богемская"", БОГЕМНАЯ РАПСОДИЯ.
БОГЕМНАЯ(! 0(!"		1.0674658373622743e+18	l_am_your_drugs	Tue Nov 27 17:11:02 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	0.0	1543338662.0		
12	КАК ЖЕ МНЕ БЛЯТЬ ЗАШЛА БОГЕМСКАЯ РАПСОДИЯ БЛЯЯЯ ЭТО ТАКОЙ ПИЗДАТЫЙ ФИЛЬМ Я НЕ МОГУ ОСОБЕННО ТАМ ЕСТЬ ГЕИ АААААААА Я… https://t.co/xxDD6ofGSJ		1.0674656949446656e+18	llSaharochekll	Tue Nov 27 17:10:28 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	11.0	0.0	1543338628.0		
13	RT @cinemafia_ru: #случайныйфактокино Начальную заставку студии 20th Century Fox для фильма «Богемская рапсодия» записали Брайан Мэй и Родж…		1.0674655700298383e+18	YuliyaZhurina	Tue Nov 27 17:09:59 +0000 2018	[Hashtag(Text='случайныйфактокино')]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	1.0	1543338599.0		
14	RT @kinoru61: Рами Малек в роли Фредди Меркьюри в фильме «Богемская рапсодия» #ramimalek #bohemianrhapsody https://t.co/bz22kG1uKX		1.0674653717399347e+18	Aid_Rostov	Tue Nov 27 17:09:11 +0000 2018	[Hashtag(Text='ramimalek'), Hashtag(Text='bohemianrhapsody')]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	3.0	1543338551.0		
15	"""Богемская Рапсодия""- лучший фильм эвер, черт возьми🌸
Плакала, как мразь😭
#Queen https://t.co/xt7GPlAjcy"		1.0674650859568906e+18	AminaHulk	Tue Nov 27 17:08:03 +0000 2018	[Hashtag(Text='Queen')]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	2.0	0.0	1543338483.0		
16	RT @kinoru61: Рами Малек в роли Фредди Меркьюри в фильме «Богемская рапсодия» #ramimalek #bohemianrhapsody https://t.co/bz22kG1uKX		1.0674646873931448e+18	narminaa_M	Tue Nov 27 17:06:28 +0000 2018	[Hashtag(Text='ramimalek'), Hashtag(Text='bohemianrhapsody')]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	3.0	1543338388.0		
17	@thnksmom_ Богемская Рапсодия 💔		1.0674607493233787e+18	0deadUnicorn0	Tue Nov 27 16:50:49 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	0.0	1543337449.0		
18	"брат: богемская рапсодия это картина?
Я: нет
б: тогда это новый клип ларина?

Ааааа, НОВЫЙ КЛИП ЛАРИНА, ЕБАТТ"		1.0674588617606922e+18	poterannoee	Tue Nov 27 16:43:19 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	3.0	0.0	1543336999.0		
19	Богемская Рапсодия переоценена. Сильно.		1.0674582978323251e+18	anamazius	Tue Nov 27 16:41:05 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	43.0	0.0	1543336865.0		
20	@pidor_s_Upitera богемская рапсодия		1.0674559443454689e+18	mashulia702	Tue Nov 27 16:31:44 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	0.0	1543336304.0		
21	RT @assambleya: богемская рапсодия би лайк https://t.co/SEevPMpYIJ		1.0674499932949873e+18	suchsensitive	Tue Nov 27 16:08:05 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	5.0	1543334885.0		
22	RT @assambleya: богемская рапсодия би лайк https://t.co/SEevPMpYIJ		1.0674490345609462e+18	Ria_Padalecki	Tue Nov 27 16:04:16 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	5.0	1543334656.0		
23	#случайныйфактокино Начальную заставку студии 20th Century Fox для фильма «Богемская рапсодия» записали Брайан Мэй… https://t.co/ZPz3iG7I8X		1.0674480045321585e+18	cinemafia_ru	Tue Nov 27 16:00:11 +0000 2018	[Hashtag(Text='случайныйфактокино')]	0.0	"<a href=""https://amplifr.com"" rel=""nofollow"">Amplifr</a>"	2.0	1.0	1543334411.0		
24	Блять, объясните мне, пожалуйста, почему люди ДО СИХ ПОР цокают и фукают на «Богемская рапсодия»		1.0674456258165268e+18	XXVMCMXCVII	Tue Nov 27 15:50:44 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	1.0	0.0	1543333844.0		
25	@thnksmom_ Богемская рапсодия		1.0674436474011402e+18	hsltlpnh2010	Tue Nov 27 15:42:52 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	0.0	1543333372.0		
