	Tweets	full_tweet	ID	Username	Date	Hashtags	Retweeted	Source	Likes	Retweets	Date_in_seconds	Geo	Coordinates
0	Oxxxymiron / Баста / Noize MC. Мы будем целиком снимать концерт #ябудупетьсвоюмузыку и транслировать его бесплатно… https://t.co/ucNsy7dfNC		1.0670671366512886e+18	tvrain	Mon Nov 26 14:46:45 +0000 2018	[Hashtag(Text='ябудупетьсвоюмузыку')]	0.0	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	114.0	38.0	1543243605.0		
1	"Я БУДУ ПЕТЬ СВОЮ МУЗЫКУ: 
Баста, Oxxxymiron, Noize MC.

Концерт солидарности. 

26 ноября, Главклуб, Москва. 

Вся… https://t.co/hhJwCmh9u4"		1.0663728207945564e+18	norimyxxxo	Sat Nov 24 16:47:47 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	19139.0	4073.0	1543078067.0		
2	"Оксимирон, Баста и Noize MC проведут концерт в поддержку арестованного рэпера Хаски

https://t.co/peqBVj37pZ"		1.0663691925160468e+18	meduzaproject	Sat Nov 24 16:33:22 +0000 2018	[]	0.0	"<a href=""https://meduza.io"" rel=""nofollow"">MyLovelyTuring</a>"	439.0	66.0	1543077202.0		
3	"RT @KoleNikita: Чтобы вы понимали!

На одной сцене:

Face, Рома Жиган, PLC, MARKUL, Киевстонер, 25\17, Касс, Thomas Mrvz, May Wave$, Локими…"		1.0675125163754701e+18	Staeh_Imaim	Tue Nov 27 20:16:31 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	152.0	1543349791.0		
4	Музыка WG Fest 2018: Sabaton, «Звери» и Noize MC Рассказываем о музыкальной программе фестиваля и подарках для обла… https://t.co/YVOnz139A8		1.0675097588847534e+18	Djoker_v_kolode	Tue Nov 27 20:05:34 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	0.0	1543349134.0		
5	@Gentleman5500 @norimyxxxo @fuzekrec @faceislove @bastaakanoggano @noize_mc @2517_official @vera_polozkova… https://t.co/QKy92IilHf		1.0675097241642967e+18	SOul_GODman	Tue Nov 27 20:05:26 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0.0	0.0	1543349126.0		
6	@olyadenisowa @opvnIYJ9DyJLehU @norimyxxxo @fuzekrec @faceislove @bastaakanoggano @noize_mc @2517_official… https://t.co/4yNNMsd2oA		1.0675093638191432e+18	SOul_GODman	Tue Nov 27 20:04:00 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0.0	0.0	1543349040.0		
7	прям сегодня дохуя раз слушала make some noize а вообще последний альбом маркула на постоянке https://t.co/qVHi7sgQZn		1.0675085288967086e+18	kly_slsh	Tue Nov 27 20:00:41 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0.0	0.0	1543348841.0		
8	@norimyxxxo @fuzekrec @faceislove @bastaakanoggano @noize_mc @2517_official @vera_polozkova @RomaJigan @Loqiemean… https://t.co/VajlMYMO4n		1.0675066470802924e+18	BMcrrap	Tue Nov 27 19:53:12 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	0.0	1543348392.0		
9	"RT @norimyxxxo: Здесь правила одни и цель одна:

@fuzekrec @faceislove @bastaakanoggano @noize_mc @2517_official @vera_polozkova @RomaJigan…"		1.067506323636523e+18	Edyachan	Tue Nov 27 19:51:55 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0.0	640.0	1543348315.0		
10	Очень знаковый концерт: Я буду петь свою Музыку. Баста, Oxxxymiron, Noize mc.. https://t.co/yw6S1q0bql с помощью @YouTube		1.0675056204699156e+18	VNikiforoff	Tue Nov 27 19:49:07 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	0.0	1543348147.0		
11	"RT @norimyxxxo: Здесь правила одни и цель одна:

@fuzekrec @faceislove @bastaakanoggano @noize_mc @2517_official @vera_polozkova @RomaJigan…"		1.0675047031672586e+18	veraprostakova	Tue Nov 27 19:45:29 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	640.0	1543347929.0		
12	"Мне понравилось видео ""OXXXYMIRON &amp; NOIZE MC &amp; БАСТА - СОТВОРИЛИ ИСТОРИЮ? /"		1.0675047014936453e+18	chepegin67	Tue Nov 27 19:45:28 +0000 2018	[]	0.0	"<a href=""https://www.google.com/"" rel=""nofollow"">Google</a>"	0.0	0.0	1543347928.0		
13	"RT @norimyxxxo: Здесь правила одни и цель одна:

@fuzekrec @faceislove @bastaakanoggano @noize_mc @2517_official @vera_polozkova @RomaJigan…"		1.0675046874637107e+18	TAP04EG	Tue Nov 27 19:45:25 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	640.0	1543347925.0		
14	"RT @norimyxxxo: Здесь правила одни и цель одна:

@fuzekrec @faceislove @bastaakanoggano @noize_mc @2517_official @vera_polozkova @RomaJigan…"		1.0675043930739016e+18	Bvdzhyumka	Tue Nov 27 19:44:15 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	640.0	1543347855.0		
