	Tweets	full_tweet	ID	Username	Date	Hashtags	Retweeted	Source	Likes	Retweets	Date_in_seconds	Geo	Coordinates
0	Oxxxymiron / Баста / Noize MC. Мы будем целиком снимать концерт #ябудупетьсвоюмузыку и транслировать его бесплатно… https://t.co/ucNsy7dfNC		1.0670671366512886e+18	tvrain	Mon Nov 26 14:46:45 +0000 2018	[Hashtag(Text='ябудупетьсвоюмузыку')]	0.0	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	114.0	38.0	1543243605.0		
1	"Я БУДУ ПЕТЬ СВОЮ МУЗЫКУ: 
Баста, Oxxxymiron, Noize MC.

Концерт солидарности. 

26 ноября, Главклуб, Москва. 

Вся… https://t.co/hhJwCmh9u4"		1.0663728207945564e+18	norimyxxxo	Sat Nov 24 16:47:47 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	19140.0	4073.0	1543078067.0		
2	"#ябудупетьсвоюмузыку
Купил два билета на концерт в поддержку Хаски. И вам советую
https://t.co/XPdfrZ6Bxb"		1.0663789593513697e+18	yurydud	Sat Nov 24 17:12:10 +0000 2018	[Hashtag(Text='ябудупетьсвоюмузыку')]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	4540.0	272.0	1543079530.0		
3	"Мне понравилось видео ""Баста feat. Noize MC и Oxxxymiron - Моя игра (Концерт солидарности"		1.0675159185389445e+18	3JIoYXyJIGaH2	Tue Nov 27 20:30:03 +0000 2018	[]	0.0	"<a href=""https://www.google.com/"" rel=""nofollow"">Google</a>"	0.0	0.0	1543350603.0		
4	"RT @norimyxxxo: Я БУДУ ПЕТЬ СВОЮ МУЗЫКУ: 
Баста, Oxxxymiron, Noize MC.

Концерт солидарности. 

26 ноября, Главклуб, Москва. 

Вся инфа и б…"		1.0675147195175076e+18	Anna91581678	Tue Nov 27 20:25:17 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0.0	4073.0	1543350317.0		
5	"RT @KoleNikita: Чтобы вы понимали!

На одной сцене:

Face, Рома Жиган, PLC, MARKUL, Киевстонер, 25\17, Касс, Thomas Mrvz, May Wave$, Локими…"		1.0675125163754701e+18	Staeh_Imaim	Tue Nov 27 20:16:31 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	152.0	1543349791.0		
6	Очень знаковый концерт: Я буду петь свою Музыку. Баста, Oxxxymiron, Noize mc.. https://t.co/yw6S1q0bql с помощью @YouTube		1.0675056204699156e+18	VNikiforoff	Tue Nov 27 19:49:07 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	0.0	1543348147.0		
7	"Мне понравилось видео ""OXXXYMIRON &amp; NOIZE MC &amp; БАСТА - СОТВОРИЛИ ИСТОРИЮ? /"		1.0675047014936453e+18	chepegin67	Tue Nov 27 19:45:28 +0000 2018	[]	0.0	"<a href=""https://www.google.com/"" rel=""nofollow"">Google</a>"	0.0	0.0	1543347928.0		
8	"RT @KoleNikita: Чтобы вы понимали!

На одной сцене:

Face, Рома Жиган, PLC, MARKUL, Киевстонер, 25\17, Касс, Thomas Mrvz, May Wave$, Локими…"		1.0675017218433761e+18	dcurly_d	Tue Nov 27 19:33:38 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	152.0	1543347218.0		
9	"RT @tvrain: Мощна речь Оксимирона в начале его выступления на концерте #ябудупетьсвоюмузыку. 

На самом деле то, что произошло прошедшим ве…"		1.0674996038540902e+18	Gennadiy3004	Tue Nov 27 19:25:13 +0000 2018	[Hashtag(Text='ябудупетьсвоюмузыку')]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	33.0	1543346713.0		
