	Tweets	full_tweet	ID	Username	Date	Hashtags	Retweeted	Source	Likes	Retweets	Date_in_seconds	Geo	Coordinates
0	Сбербанк прокомментировал сообщения о блокировке карт за «необоснованные» переводы https://t.co/xAYwLQ70g1		1.067360122077356e+18	Vedomosti	Tue Nov 27 10:10:58 +0000 2018	[]	0.0	"<a href=""https://www.vedomosti.ru/"" rel=""nofollow"">Vedomosti</a>"	2.0	5.0	1543313458.0		
1	"Сбербанк уведомил Еврокомиссию об утечке персональных данных своих сотрудников:
https://t.co/NeqB5CC2uR https://t.co/00qnhvCbGO"		1.0673876796319498e+18	tass_agency	Tue Nov 27 12:00:28 +0000 2018	[]	0.0	"<a href=""https://amplifr.com"" rel=""nofollow"">Amplifr</a>"	4.0	6.0	1543320028.0		
2	"RT @bloginmydreams: Сбербанк - рабовладелец мужских сердец https://t.co/Z3aHhq2Thr
Не устоять мужчине перед таким видом в сбербанке и возьм…"		1.0674810690611118e+18	zhorkina2015	Tue Nov 27 18:11:34 +0000 2018	[]	0.0	"<a href=""http://www.qip.ru/"" rel=""nofollow"">QIP 2012</a>"	0.0	2.0	1543342294.0		
3	"RT @bloginmydreams: Сбербанк - рабовладелец мужских сердец https://t.co/Z3aHhq2Thr
Не устоять мужчине перед таким видом в сбербанке и возьм…"		1.0674797358386668e+18	dotoless	Tue Nov 27 18:06:16 +0000 2018	[]	0.0	"<a href=""http://www.qip.ru/"" rel=""nofollow"">QIP 2012</a>"	0.0	2.0	1543341976.0		
4	"бля читал ""север против юга(Жюль Верн)"",про гражд.войну в США.Главными героями была семья БЕРБАНК...
СУКА, ПОСТОЯНН… https://t.co/0vsp2TJFOU"		1.0674783498854482e+18	chistozadrotik	Tue Nov 27 18:00:46 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	1.0	0.0	1543341646.0		
5	"RT @alyssazakharova: Экстренность этой операции определяется парой недель.

Моей маме всего 44 года. А я просто хочу, чтобы она жила.

🆘️СР…"		1.0674780647146537e+18	urbbysmine	Tue Nov 27 17:59:38 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	476.0	1543341578.0		
6	RT @banki_ru: Самым прибыльным банком в октябре стал Сбербанк, самым убыточным — Абсолют Банк https://t.co/rpPgQxaJIq #новости https://t.co…		1.0674774394362839e+18	RbICb	Tue Nov 27 17:57:08 +0000 2018	[Hashtag(Text='новости')]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	1.0	1543341428.0		
7	RT @woodostok: Сбербанк, Бинбанк и Тинькофф-банк заявили, что не сталкивались с массовыми блокировками переводов клиентов на небольшие сумм…		1.067476635161641e+18	Slade_Forever	Tue Nov 27 17:53:57 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	2.0	1543341237.0		
8	"""Сбербанк"" продолжает погоню за ""Новомосковском"" в ТБЛЛ https://t.co/j8QHh1iHrD https://t.co/RTS8KozFUZ"		1.0674759619003433e+18	tula_sport	Tue Nov 27 17:51:16 +0000 2018	[]	0.0	"<a href=""http://tula-sport.ru"" rel=""nofollow"">Тула-Спорт</a>"	0.0	0.0	1543341076.0		
9	"RT @YevhenS: ВТБ БАНКРОТ
Осталось обанротить Сбербанк и Проминвестбанк."		1.0674746734479155e+18	Aid_Rostov	Tue Nov 27 17:46:09 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	15.0	1543340769.0		
10	Сбербанк обманывает людей. Будьте внимательны! https://t.co/sV3s9cElya https://t.co/McDfOZn6qc		1.0674745757877821e+18	pavelkislenko	Tue Nov 27 17:45:46 +0000 2018	[]	0.0	"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>"	0.0	0.0	1543340746.0		
11	"Сбербанк снова жульничает! 

«Сбербанк» блокирует банковские карты Visa, MasterCard и «Мир» из-за одного слова https://t.co/6UXpx3oV0W"		1.0674743583927583e+18	SObolenski	Tue Nov 27 17:44:54 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	0.0	1543340694.0		
12	RT @alexustas: Однажды, чтобы подтвердить операцию в 1000 рублей, мне пришлось... А на что вы готовы пойти, чтобы подтвердить банковский пе…		1.0674741508712202e+18	masha200570	Tue Nov 27 17:44:04 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	1.0	1543340644.0		
13	"RT @YevhenS: ВТБ БАНКРОТ
Осталось обанротить Сбербанк и Проминвестбанк."		1.0674739266017403e+18	MartaUkCrimea	Tue Nov 27 17:43:11 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0.0	15.0	1543340591.0		
14	Сбербанк прокомментировал данные о требовании обосновывать переводы — РТ на русском https://t.co/p9xWHnn1tM		1.0674701029903852e+18	natasem787	Tue Nov 27 17:27:59 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	0.0	1543339679.0		
15	Обезумевшие банки Бинбанк, Тинькофф и Сбербанк требуют обосновать переводы на 1 тыс. руб. https://t.co/uD2zfDE0DR… https://t.co/DIklcyTxyJ		1.0674690322516337e+18	FaritMurtazin	Tue Nov 27 17:23:44 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	1.0	1543339424.0		
16	@Ilya_Stolyarov_ @9JcvyGKENVEO3eP @dolg132005 @RobertBik @bassanets Да? А где у нас в Крыму сбербанк или почта россии?		1.0674688975180145e+18	YaltinetsO_o	Tue Nov 27 17:23:12 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	0.0	1543339392.0		
17	"RT @YevhenS: ВТБ БАНКРОТ
Осталось обанротить Сбербанк и Проминвестбанк."		1.0674688274648023e+18	OlyaLykoe777	Tue Nov 27 17:22:55 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	15.0	1543339375.0		
18	Теперь банк может заблокировать счете если он посчитает операцию свыше 1.000 как отмыванием денег. Но почему-то это… https://t.co/1GTc2GViTS		1.0674686516730716e+18	HismatullinDD	Tue Nov 27 17:22:13 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0.0	0.0	1543339333.0		
19	@A_Gasparyan @sberbank Ещё 10 лет назад, в сбербанк можно было устроиться по большому блату или конкурсу.		1.067468575575851e+18	yakushe23895927	Tue Nov 27 17:21:55 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	0.0	1543339315.0		
20	"RT @O_Kras: Сбербанк (@sberbank) | Twitter
Почему Вы не охраняете наши деньги, а за  наш счет требуете их страховать. Что вы за банк. Вас н…"		1.0674672632536269e+18	russkoesolnce	Tue Nov 27 17:16:42 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	7.0	1543339002.0		
21	Сбербанк прокомментировал информацию о блокировке карт за необоснованные переводы https://t.co/f32dXNEqxO		1.0674667253299446e+18	sveta231	Tue Nov 27 17:14:34 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	0.0	1543338874.0		
22	"RT @O_Kras: Сбербанк (@sberbank) | Twitter
Почему Вы не охраняете наши деньги, а за  наш счет требуете их страховать. Что вы за банк. Вас н…"		1.0674666951938949e+18	BorisovAntonMi	Tue Nov 27 17:14:27 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0.0	7.0	1543338867.0		
23	Сбербанк и Тинькофф Банк прокомментировали данные о переводах на ₽1 тыс.		1.0674666121424814e+18	rizazzhand87	Tue Nov 27 17:14:07 +0000 2018	[]	0.0	"<a href=""https://hprpeatertgo.com"" rel=""nofollow"">krpmacters</a>"	0.0	0.0	1543338847.0		
