	Tweets	full_tweet	ID	Username	Date	Hashtags	Retweeted	Source	Likes	Retweets	Date_in_seconds	Geo	Coordinates
0	RT @ru_thebell: Лучшими мобильными приложениями среди банков стали приложения Тинькофф Банка и Рокетбанка, посчитала компания Markswebb, ко…		1.0674829925269299e+18	5898928	Tue Nov 27 18:19:12 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	1.0	1543342752.0		
1	хочу помочь финансово хоть как-то но тинькофф не принимает платежи с иностранных карт ну ты и сучара тинькофф		1.0674823369572925e+18	SlimShadxx	Tue Nov 27 18:16:36 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0.0	0.0	1543342596.0		
2	"RT @_U_R_I_c: Догадайтесь, у кого все хорошо?
У Тинькова все хорошо.
Банк Тинькофф показал рекордную выручку, рекордную прибыль, а выплаты…"		1.0674817081765233e+18	imellmard	Tue Nov 27 18:14:06 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	47.0	1543342446.0		
3	Подравнять шмоньку в Бест Клиник можно было за 49990 рубликов. Интересно можно ли это было сделать по страховке от Тинькофф Страхование?		1.0674815636995154e+18	KPETAM	Tue Nov 27 18:13:32 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	0.0	1543342412.0		
4	@n_fonok @yoshkinkrot Враньё. Тинькофф и Сбер уже опровергли. Я лично только вчера и сегодня сделала три перевода:… https://t.co/wcedJ026UK		1.0674810086630769e+18	Elena_Bers	Tue Nov 27 18:11:19 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	0.0	1543342279.0		
5	"RT @imsorrybabyxx: у нас вдвоем осталось совсем немного денег и мне до зарплаты жить еще две недели
а девушке до сих пор не пришел рассчет…"		1.0674809768115855e+18	SlimShadxx	Tue Nov 27 18:11:12 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0.0	108.0	1543342272.0		
6	"RT @imsorrybabyxx: у нас вдвоем осталось совсем немного денег и мне до зарплаты жить еще две недели
а девушке до сих пор не пришел рассчет…"		1.0674809095516815e+18	marychermary	Tue Nov 27 18:10:56 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	108.0	1543342256.0		
7	"RT @imsorrybabyxx: у нас вдвоем осталось совсем немного денег и мне до зарплаты жить еще две недели
а девушке до сих пор не пришел рассчет…"		1.0674792474077143e+18	carry_for_die	Tue Nov 27 18:04:20 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	108.0	1543341860.0		
8	"RT @imsorrybabyxx: у нас вдвоем осталось совсем немного денег и мне до зарплаты жить еще две недели
а девушке до сих пор не пришел рассчет…"		1.0674787250994381e+18	ooverdramatic	Tue Nov 27 18:02:15 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	108.0	1543341735.0		
9	"RT @imsorrybabyxx: у нас вдвоем осталось совсем немного денег и мне до зарплаты жить еще две недели
а девушке до сих пор не пришел рассчет…"		1.067478601283584e+18	coffe_werewolf	Tue Nov 27 18:01:45 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0.0	108.0	1543341705.0		
10	RT @uignoremeihateu: Живу на кешбек от Тинькофф		1.0674785192808202e+18	noizeof	Tue Nov 27 18:01:26 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	0.0	1543341686.0		
11	"RT @imsorrybabyxx: у нас вдвоем осталось совсем немного денег и мне до зарплаты жить еще две недели
а девушке до сих пор не пришел рассчет…"		1.0674781224366776e+18	timeinabottle73	Tue Nov 27 17:59:51 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	108.0	1543341591.0		
12	У кого карта Тинькофф S7? Какие отзывы?		1.0674772272464159e+18	maksspartak	Tue Nov 27 17:56:18 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	0.0	1543341378.0		
13	"RT @imsorrybabyxx: у нас вдвоем осталось совсем немного денег и мне до зарплаты жить еще две недели
а девушке до сих пор не пришел рассчет…"		1.0674766952912568e+18	Gay_for_life_28	Tue Nov 27 17:54:11 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	108.0	1543341251.0		
14	RT @woodostok: Сбербанк, Бинбанк и Тинькофф-банк заявили, что не сталкивались с массовыми блокировками переводов клиентов на небольшие сумм…		1.067476635161641e+18	Slade_Forever	Tue Nov 27 17:53:57 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	2.0	1543341237.0		
15	"RT @imsorrybabyxx: у нас вдвоем осталось совсем немного денег и мне до зарплаты жить еще две недели
а девушке до сих пор не пришел рассчет…"		1.0674757127881277e+18	LayilLil	Tue Nov 27 17:50:17 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	108.0	1543341017.0		
16	@tinkoff_bank видел Рекламу Тинькофф инвестиции где Сказано что до конца года комиссия по сделкам 0 руб. Это только… https://t.co/qifAYSuheL		1.0674742194941829e+18	molodez84	Tue Nov 27 17:44:21 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	0.0	1543340661.0		
17	"RT @imsorrybabyxx: у нас вдвоем осталось совсем немного денег и мне до зарплаты жить еще две недели
а девушке до сих пор не пришел рассчет…"		1.067473494731092e+18	SlavCyber	Tue Nov 27 17:41:28 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0.0	108.0	1543340488.0		
18	"RT @imsorrybabyxx: у нас вдвоем осталось совсем немного денег и мне до зарплаты жить еще две недели
а девушке до сих пор не пришел рассчет…"		1.0674728953356329e+18	GhostQueen4	Tue Nov 27 17:39:05 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	108.0	1543340345.0		
19	"RT @imsorrybabyxx: у нас вдвоем осталось совсем немного денег и мне до зарплаты жить еще две недели
а девушке до сих пор не пришел рассчет…"		1.0674711980266455e+18	chry_merry_chry	Tue Nov 27 17:32:20 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	108.0	1543339940.0		
20	"RT @imsorrybabyxx: у нас вдвоем осталось совсем немного денег и мне до зарплаты жить еще две недели
а девушке до сих пор не пришел рассчет…"		1.0674709550506598e+18	___swish_	Tue Nov 27 17:31:22 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	108.0	1543339882.0		
21	"RT @imsorrybabyxx: у нас вдвоем осталось совсем немного денег и мне до зарплаты жить еще две недели
а девушке до сих пор не пришел рассчет…"		1.0674702018962964e+18	lippixxx	Tue Nov 27 17:28:23 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	108.0	1543339703.0		
22	"RT @imsorrybabyxx: у нас вдвоем осталось совсем немного денег и мне до зарплаты жить еще две недели
а девушке до сих пор не пришел рассчет…"		1.067469840875733e+18	Ktulharius	Tue Nov 27 17:26:57 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	108.0	1543339617.0		
23	"RT @imsorrybabyxx: у нас вдвоем осталось совсем немного денег и мне до зарплаты жить еще две недели
а девушке до сих пор не пришел рассчет…"		1.0674697004126413e+18	rogerinana	Tue Nov 27 17:26:23 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0.0	108.0	1543339583.0		
24	"RT @imsorrybabyxx: у нас вдвоем осталось совсем немного денег и мне до зарплаты жить еще две недели
а девушке до сих пор не пришел рассчет…"		1.0674696786106941e+18	pizdecnahyiblya	Tue Nov 27 17:26:18 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	108.0	1543339578.0		
